52146-0654-441,0,31,12.94,-8,58,59.6,2.2527,8.11,0,1.05,0,0
52262-0689-516,0,31,13.04,0,10,20.3,2.8591,8.53,0,1.54,1,1
51821-0417-192,0,31,15.52,14,49,19.9,1.9598,6.52,0,1.35,0,0
52262-0689-518,0,31,20.59,0,0,42.2,1.7183,6.5,0,1.06,0,0
53710-2327-305,0,31,22.38,6,51,38.3,3.3511,4.64,0,1.52,3,2
51821-0417-492,0,31,26.79,15,7,39.5,4.2832,9.15,0,1.16,0,0
51793-0392-345,0,31,31.44,0,34,20.2,1.7355,8.57,0,2.26,0,0
51782-0391-006,0,31,33.6,0,49,41.5,1.9354,8.61,0,0.95,0,0
52262-0689-504,0,31,38.17,0,33,33.2,2.7465,9.75,0,1.62,1,1
53710-2327-292,0,31,50.73,6,29,1.1,2.314,6.87,12,1.58,11,4
52146-0654-445,0,32,3.29,-8,44,5.1,3.2533,7.05,0,0.72,3,1
52937-1494-291,0,32,5.54,0,44,9.5,2.4979,10.83,0,2.04,0,0
52262-0689-119,0,32,6.88,0,3,25,1.8814,6.49,0,1.52,0,0
53710-2327-386,0,32,10.14,7,51,23.2,2.0718,11.77,0,1.46,0,0
52262-0689-090,0,32,20.52,0,44,26.4,2.1138,6.99,0,1.38,0,0
52146-0654-469,0,32,20.99,-9,27,24.3,2.2268,7.27,0,1.03,2,2
52262-0689-552,0,32,26.3,0,16,59.7,2.0479,11.75,0,1.67,5,3
52146-0654-081,0,32,50.12,-10,53,57.6,2.4449,22.6,0,1.4,0,0
52261-0690-310,0,32,56.66,0,15,57,1.9453,17.49,0,1.57,0,0
51821-0417-507,0,32,59.74,15,20,53,2.0207,11.55,0,2.1,0,0
51793-0392-299,0,33,4.32,0,48,13.6,1.7874,6.26,0,1,0,0
52262-0689-541,0,33,4.79,0,43,38.2,2.2221,5.23,0,0.73,1,0
53710-2327-290,0,33,9.87,6,22,13.2,2.6197,8.57,0,1.41,2,2
54453-2848-564,0,33,11.34,-17,10,41.5,2.9094,7.68,0,0.87,0,0
52933-1493-624,0,33,12.8,0,34,34.9,2.3009,7.12,0,1.38,0,0
51821-0417-577,0,33,20.32,15,41,25,2.2566,11.37,0,1.26,0,0
53710-2327-369,0,33,23.57,8,25,16,2.7783,8.87,0,1.33,3,0
51817-0418-336,0,33,30.49,15,49,52.5,2.0522,5.66,0,0.84,1,0
51821-0417-565,0,33,31.04,16,3,48.4,1.7603,4.16,0,1.47,1,0
52262-0689-001,0,33,47.91,-1,12,24.5,2.4814,4.96,0,2.62,0,0
52262-0689-616,0,33,58.67,0,48,55.4,2.0502,13.64,0,3.13,0,0
52146-0654-507,0,34,8.15,-9,17,57.3,1.8058,7.02,0,0.9,0,0
53710-2327-203,0,34,9.03,6,42,56,2.3154,4.44,0,3.51,6,3
52162-0655-358,0,34,14.2,-9,27,38.7,1.9023,6.12,0,1.31,0,0
51817-0418-277,0,34,18.65,14,51,2.8,2.1141,11.63,0,0.67,0,0
53710-2327-402,0,34,23.04,8,22,3.2,2.1188,4.09,0,1.01,6,0
52146-0654-056,0,34,23.06,-10,50,1.9,1.8293,5.61,0,1.43,1,1
52146-0654-106,0,34,29.43,-10,36,26.9,2.2667,13.15,0,1.12,1,0
51793-0392-436,0,34,32.77,0,23,53.8,1.8427,8.6,0,1.36,0,0
52261-0690-270,0,34,38.46,0,29,13.7,1.9965,5.48,0,0.86,0,0
51793-0392-208,0,34,51.86,-1,11,25.7,1.8421,11.54,0,0.77,0,0
51817-0418-433,0,34,55.87,15,11,36.9,2.016,11.42,0,0.86,0,0
52262-0689-025,0,35,0.65,0,25,5.2,2.3123,14.34,0,1.64,0,0
52146-0654-545,0,35,1.88,-9,18,17.6,2.4187,4.86,0,1.24,1,0
51793-0392-440,0,35,3.77,0,16,41.6,2.6697,5.37,0,1.88,7,4
52146-0654-107,0,35,5.61,-10,35,36.3,2.2595,18.21,0,0.95,1,1
53710-2327-488,0,35,27.09,7,50,31.8,2.3808,5.77,0,1.01,0,0
52261-0690-272,0,35,34.25,0,32,23.2,2.8512,9.24,0,0.7,0,0
52261-0690-382,0,35,42.51,0,22,0.2,2.3095,5.94,0,1.33,0,0
51793-0392-464,0,35,45.86,0,23,5.8,3.2241,10.2,0,2.18,1,1
51817-0418-418,0,35,46.4,16,3,46.2,2.0807,7.4,0,0.91,2,2
52261-0690-242,0,35,48.53,-1,12,46.5,2.0147,8.81,0,1.41,0,0
52262-0689-637,0,36,3.6,0,4,23.3,2.2527,9.17,0,1.35,0,0
52261-0690-227,0,36,3.63,0,25,33.1,2.2438,15.27,0,1.69,0,0
52261-0690-258,0,36,18.84,0,46,29.8,4.0395,11.55,0,1.38,2,2
52261-0690-365,0,36,30.68,1,5,20.6,2.4518,6.94,0,1.03,0,0
52261-0690-367,0,36,33.68,0,50,20.6,2.1753,5.94,0,1.31,0,0
52146-0654-029,0,36,33.93,-10,12,28.8,2.0836,14.09,0,1.65,1,1
52525-1086-524,0,36,37.19,1,3,14.4,2.2831,8.56,0,1.42,1,1
52525-1086-521,0,36,40.34,1,14,49.3,2.3487,10.57,0,3.17,0,0
53710-2327-452,0,36,43.44,8,39,44.3,2.7059,9.08,0,0.76,5,4
51817-0418-191,0,36,44.49,14,35,47.1,2.0952,10.31,0,1.96,0,0
53349-2058-320,0,36,51.56,24,44,10.5,2.357,6.7,0,1.87,6,2
53710-2327-443,0,36,53.85,8,39,36.2,2.5669,6.99,0,1,0,0
51817-0418-449,0,36,56.8,16,1,13.1,1.7501,4.75,0,0.83,1,1
51817-0418-458,0,37,15.51,15,48,27.2,2.0148,14.54,0,0.85,4,4
51817-0418-441,0,37,42.04,15,49,38.2,2.7069,6.59,0,1.31,2,1
53710-2327-090,0,37,47.2,6,15,32,2.5694,8.58,0,0.65,0,0
52261-0690-462,0,37,50.1,0,6,54.8,2.012,4.27,0,1.02,0,0
53349-2058-321,0,38,9.8,25,47,34.7,2.8395,14.14,0,1.35,1,0
51817-0418-131,0,38,15.92,14,3,4.6,2.7165,8.06,0,1.43,0,0
53710-2327-551,0,38,26.29,7,43,18.8,2.9543,6.72,0,0.9,0,0
52937-1494-045,0,38,28.88,-1,2,15.9,3.4306,5.64,0,1.3,0,0
51817-0418-128,0,38,37.71,13,46,20.4,1.9635,14.5,0,1.75,0,0
52162-0655-270,0,38,38.2,-10,15,58.5,2.1096,15.91,0,1.45,1,1
52162-0655-273,0,38,42.66,-9,47,12.7,1.9912,8.83,0,0.76,0,0
53349-2058-425,0,39,4.46,25,34,12,2.9313,5.2,0,1.43,0,0
53710-2327-565,0,39,8.85,8,39,43.4,2.9392,5.8,0,1.36,3,2
51793-0392-006,0,39,13.87,0,59,9,2.0835,11.23,0,1.42,0,0
53349-2058-379,0,39,14.14,26,9,32.8,2.7154,9.01,0,1.35,0,0
52162-0655-239,0,39,22.32,-9,50,51.3,1.881,16.52,0,1.57,1,1
52261-0690-524,0,39,22.44,0,59,51.7,1.9977,11.68,0,1.46,0,0
51794-0393-315,0,39,22.77,0,44,9.8,2.1771,4.26,0,1.14,1,0
